"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,137844918,25834222
2019,12,137844992,25834234
2019,20,137844999,25834237
2019,12,137863304,25830934
2019,12,137863356,25830944
2019,12,137863409,25830956
2019,12,137863586,25830980
2019,12,137863670,25838917
2019,10,137866171,25834478
2019,12,137866183,25834481
2019,12,137859275,25831109
2019,12,137864375,25831127
2019,20,137864508,25834525
2019,20,137864520,25831152
2019,18,137859335,25838959
2019,12,137864619,25831170
2019,18,137864626,25831173
2019,12,137864653,25831182
2019,12,137864672,25838965
2019,12,137864685,25831190
2019,12,137864715,25834553
2019,12,137866847,25831292
2019,18,137866853,25831294
2019,12,137859642,25839021
2019,20,137866942,25834618
2019,20,137865571,25831353
2019,18,137865736,25831373
2019,12,137865782,25831380
2019,18,137859819,25839053
2019,12,137865846,25831395
2019,12,137865960,25831413
2019,12,137865974,25831416
2019,12,137866125,25831475
2019,12,137866140,25831481
2019,12,137859936,25839075
2019,20,137867219,25834660
2019,12,137871191,25831494
2019,12,137871281,25831529
2019,12,137871282,25831530
2019,12,137867284,25831534
2019,12,137871296,25831537
2019,9,137871318,25831543
2019,12,137871593,25831614
2019,12,137869042,25835089
2019,12,137873249,25841987
2019,10,137869143,25835107
2019,12,137873300,25841999
2019,3,137860908,25839312
2019,19,137873342,25842011
2019,12,137869162,25835111
2019,12,137873379,25842024
2019,12,137860963,25839329
2019,18,137873516,25839338
2019,12,137869291,25835137
2019,12,137873535,25842070
2019,12,137869297,25835139
2019,12,137873587,25842092
2019,19,137873615,25835147
2019,12,137873668,25835159
2019,12,137873700,25842126
2019,12,137869834,25835261
2019,18,137869834,25835262
2019,20,137876303,25839405
2019,9,137869889,25835270
2019,3,137874172,25835278
2019,20,137874186,25842226
2019,18,137869947,25835283
2019,12,137870366,25842301
2019,12,137874699,25842318
2019,12,137874735,25842326
2019,12,137874768,25842333
2019,5,137844293,25834106
2019,12,137861246,25830493
