"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,131279141,1,
2019,131275679,9,
2019,131280081,10,
2019,131275723,1,
2019,131276612,9,
2019,131283224,10,
2019,131276748,9,
2019,131276762,6,
2019,126848898,10,
2019,126842518,1,
2019,126842519,1,
2019,126849591,10,
2019,126850374,6,
2019,126855071,9,
2019,126858317,1,
2019,126855780,9,
2019,126851800,1,
2019,126870480,9,
2019,126866301,9,
2019,126870982,10,
2019,126866309,10,
2019,126878132,9,
2019,126867207,1,
2019,126877764,9,
2019,126867523,2,
2019,126888144,9,
2019,126879296,1,
2019,126888180,6,
2019,126883916,2,
2019,126888191,1,
2019,126888203,6,
2019,126888253,9,
2019,126888295,1,
2019,126888352,6,
2019,126888360,10,
2019,126849197,2,
2019,126854445,1,
2019,126849865,10,
2019,126849910,1,
2019,126849930,9,
2019,126850829,9,
2019,126861464,1,
