"2020
rank",City,State[c],"2020
census","2010
census",Change,2016 land area,,2016 population density,,Location,CIT program,Start,Source,Other programs,
90,Chesapeake[m],Virginia,"249,422","222,209",0.1225,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36.67°N 76.30°W,,,,,
91,Glendale,Arizona,"248,325","226,721",0.0953,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2",33.53°N 112.18°W,TRUE,2015,https://www.pilotonline.com/news/article_e74e723b-b0c5-5c28-a42e-60b6ca469fd3.html,,
92,Garland,Texas,"246,018","226,876",0.0844,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2",32.90°N 96.63°W,TRUE,2017,https://www.surpriseaz.gov/Archive.aspx?ADID=8537,,
93,Scottsdale,Arizona,"241,361","217,385",0.1103,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33.68°N 111.86°W,,,,,
94,Norfolk[m],Virginia,"238,005","242,803",−1.98%,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2",36.92°N 76.24°W,TRUE,2015,"https://www.yourvalley.net/stories/crisis-intervention-training-takes-place-in-scottsdale,234728",,
95,Boise[r],Idaho,"235,684","205,671",0.1459,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2",43.60°N 116.23°W,TRUE,2014,https://www.norfolk.gov/CivicAlerts.aspx?AID=2220&ARC=3746&PREVIEW=YES,,
96,Fremont,California,"230,504","214,089",0.0767,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2",37.49°N 121.94°W,,,,,
97,Spokane,Washington,"228,989","208,916",0.0961,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2",47.66°N 117.43°W,,,,,
98,Santa Clarita,California,"228,673","176,320",0.2969,52.8 sq mi,136.8 km2,"3,446/sq mi","1,331/km2",34.40°N 118.50°W,Too Early,2001,,,
99,Baton Rouge[s],Louisiana,"227,470","229,493",−0.88%,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2",30.44°N 91.13°W,,2016,https://www.thetowntalk.com/story/news/2017/06/26/cit/372209001/,,
100,Richmond[m],Virginia,"226,610","204,214",0.1097,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2",37.53°N 77.47°W,,2019,https://richmondmagazine.com/news/news/crisis-response/,,
