OBJECTID,COUNTYNAME,COUNTYFIPS,COUNTYGNIS,NAME_UCASE,POP_1990,POP_2000,ACRES,SQ_MILES,CNTY_SEAT,CO_CLASS,ShapeSTArea,ShapeSTLength
25,Caldwell,025,758467,CALDWELL,8380,8969,274777.912982,429.34048903,Kingston,3,1112011124.99402,134847.890188321
26,Clinton,049,758479,CLINTON,16595,18979,270979.359147,423.40524867,Plattsburg,3,1096549714.11487,132334.910946861
27,Chariton,041,758475,CHARITON,9202,8438,490533.889636,766.45920256,Keytesville,3,1985147408.88403,232822.59701778
28,Ralls,173,758541,RALLS,8476,9626,309219.499795,483.15546843,New London,3,1251372357.61694,159363.702903383
29,Carroll,033,758471,CARROLL,10748,10285,448610.26383,700.95353723,Carrollton,3,1815469212.26648,244814.366000629
30,Pike,163,758536,PIKE,15969,18351,439879.986273,687.31247855,Bowling Green,3,1780138888.35278,195251.936066605
31,Randolph,175,758542,RANDOLPH,24370,24663,311958.865689,487.43572764,Huntsville,3,1262469378.84082,141312.981524507
32,Ray,177,758543,RAY,21971,23354,367213.939854,573.77178102,Richmond,3,1486068334.43884,176432.660578666
33,Platte,165,758537,PLATTE,57867,73781,273240.607319,426.93844894,Platte City,1,1105770736.61914,162230.247807087
34,Clay,047,758478,CLAY,153411,184006,261441.366704,408.50213548,Liberty,1,1058051946.04419,151974.452964061
35,Audrain,007,758458,AUDRAIN,23599,25853,445651.750121,696.33085956,Mexico,3,1803529166.85059,215692.879438462
36,Saline,195,758550,SALINE,23523,23756,490452.589356,766.33217087,Marshall,4,1984799838.30603,217275.906029056
37,Howard,089,758499,HOWARD,9631,10212,301441.217336,471.00190209,Fayette,3,1219903630.97632,146537.174370656
38,Boone,019,758464,BOONE,112379,135454,441903.703148,690.47453617,Columbia,1,1788301578.86694,223300.389732706
39,Lincoln,113,758511,LINCOLN,28892,38944,409969.461353,640.57728336,Troy,2,1659094768.05151,199880.206828884
40,Lafayette,107,758508,LAFAYETTE,31107,32960,408425.388672,638.1646698,Lexington,4,1652866098.797,208575.683303094
41,Jackson,095,758502,JACKSON,633232,654880,394101.428251,615.78348164,Independence,1,1594822765.41858,174882.725144505
42,Montgomery,139,758524,MONTGOMERY,11355,12136,345937.382245,540.52715976,Montgomery City,3,1399965009.26953,165877.179359702
43,Callaway,027,758468,CALLAWAY,32809,40766,541959.026534,846.81097896,Fulton,2,2193175394.04883,222627.581066227
