"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,35034636,1,35395072
2019,35032270,1,35387753
2019,35032271,1,35387754
2019,35032273,1,35387756
2019,35032274,1,35387757
2019,35032275,1,35387758
2019,35032276,1,35387759
2019,35032278,1,35387761
2019,35032277,1,35387760
2019,35032279,1,35387762
2019,35032280,1,35387763
2019,35032281,1,35387764
2019,35032282,1,35387765
2019,35032283,1,35387766
2019,35032284,1,35387767
2019,35032285,1,35387768
2019,35032286,21,35387769
2019,35032287,1,35387770
2019,35032288,1,35387771
2019,35032289,1,35387772
2019,35032292,1,35387775
2019,35032291,1,35387774
2019,35032290,1,35387773
2019,35032295,1,35387778
2019,35032296,1,35387779
2019,35032297,1,35387780
2019,35032298,1,35387781
2019,35032299,1,35387782
2019,35032300,1,35387783
2019,35032301,1,35387784
2019,35032302,1,35387785
2019,35032304,1,35387787
2019,35032305,1,35387788
2019,35032306,1,35387789
2019,35032307,1,35387790
2019,35032308,1,35387791
2019,35032310,1,35387793
2019,35032311,1,35387794
2019,35032312,1,35387795
2019,35032313,1,35387796
2019,35032314,1,35387797
2019,35032315,1,35387798
2019,35032316,1,35387799
2019,35032317,1,35387800
2019,35032318,1,35387801
2019,35032319,1,35387802
2019,35032320,1,35387803
2019,35032321,1,35387804
2019,35032322,1,35387805
2019,35032324,1,35387807
2019,35032323,1,35387806
2019,35032325,1,35387808
2019,35032327,1,35387810
2019,35032328,1,35387811
2019,35032329,1,35387812
2019,35032330,1,35387813
2019,35032331,1,35387814
2019,35032332,1,35387815
2019,35032333,1,35387816
2019,35032334,1,35387817
2019,35032336,1,35387819
2019,35032335,1,35387818
2019,35032338,1,35387821
2019,35032337,1,35387820
2019,35032339,1,35387822
2019,35032340,1,35387823
2019,35032341,1,35387824
2019,35032343,1,35387826
2019,35032344,1,35387827
2019,35032345,1,35387828
2019,35032346,1,35387829
2019,35032347,1,35387830
2019,35032348,1,35387831
2019,35032349,1,35387832
2019,35032350,1,35387833
2019,35032351,1,35387834
2019,35032352,1,35387835
2019,35032353,1,35387836
2019,35032354,1,35387837
2019,35032355,1,35387838
2019,35032356,1,35387839
2019,35032357,1,35387840
2019,35032358,1,35387841
2019,35032359,1,35387842
2019,35032360,1,35387843
2019,35032361,1,35387844
2019,35032362,1,35387845
2019,35032363,1,35387846
2019,35032364,1,35387847
2019,35032366,1,35387849
2019,35032365,1,35387848
2019,35032367,1,35387850
2019,35032369,1,35387852
2019,35032370,1,35387853
2019,35032371,1,35387854
2019,35032372,1,35387855
2019,35032373,1,35387856
2019,35032374,1,35387857
2019,35032375,1,35387858
2019,35032376,1,35387859
2019,35032378,1,35387861
2019,35032380,1,35387863
2019,35032381,1,35387864
2019,35032382,1,35387865
2019,35032383,1,35387866
2019,35032384,1,35387867
2019,35032385,1,35387868
2019,35032386,1,35387869
2019,35032387,1,35387870
2019,35032388,1,35387871
2019,35032389,1,35387872
2019,35032390,1,35387873
2019,35032391,1,35387874
2019,35032392,1,35387875
2019,35032393,1,35387876
2019,35032394,1,35387877
2019,35032395,1,35387878
2019,35032396,1,35387879
2019,35032397,1,35387880
2019,35032398,1,35387881
2019,35032399,1,35387882
2019,35032400,1,35387883
2019,35032401,1,35387884
2019,35032402,1,35387885
2019,35032403,1,35387886
2019,35032404,1,35387887
2019,35032405,22,35387888
2019,35032406,1,35387889
2019,35032407,1,35387890
2019,35032409,1,35387892
2019,35032410,1,35387893
2019,35032411,1,35387894
2019,35032413,1,35387896
2019,35032412,1,35387895
2019,35032414,1,35387897
2019,35032415,1,35387898
2019,35032416,1,35387899
